generation,fitness,num_collisions
571,1408.545000,5796
572,1457.260000,4224
573,1439.015000,4362
574,1408.880000,4563
575,1483.970000,4994
576,1518.265000,5279
577,1519.560000,5544
578,1370.535000,4696
579,1463.255000,4896
580,1379.610000,4664
581,1413.490000,4806
582,1363.530000,4771
583,1511.220000,3811
584,1391.580000,4361
585,1548.025000,5025
586,1344.915000,4893
587,1467.810000,5567
588,1420.215000,5196
589,1566.090000,3961
590,1363.750000,4812
591,1460.250000,6195
592,1292.105000,4979
593,1537.610000,3781
594,1505.530000,3979
595,1475.725000,4127
596,1552.790000,4011
597,1612.255000,3872
598,1433.965000,4531
599,1471.195000,4358
600,1359.115000,6291
601,1295.640000,5820
602,1562.645000,3753
603,1449.445000,4390
604,1423.245000,4657
605,1432.540000,4449
606,1407.350000,4724
607,1464.550000,4406
608,1484.580000,4249
609,1411.580000,4714
610,1382.365000,5091
611,1563.110000,4191
612,1384.885000,5113
613,1516.555000,4398
614,1471.455000,6787
615,1436.205000,4566
616,1407.260000,4784
617,1495.155000,5055
618,1404.795000,4770
619,1461.620000,4574
620,1415.575000,4661
621,1308.810000,6321
622,1480.815000,4676
623,1426.250000,5342
624,1476.005000,4386
625,1572.840000,3916
626,1490.575000,4606
627,1505.930000,6174
628,1578.965000,4097
629,1405.880000,6017
630,1417.335000,5635
631,1458.870000,5115
632,1428.455000,4574
633,1429.020000,4895
634,1449.120000,4694
635,1451.255000,5755
636,1309.585000,4991
637,1565.715000,5578
638,1428.985000,4443
639,1473.100000,3988
640,1351.505000,8755
641,1448.540000,5305
642,1501.510000,4237
643,1415.530000,4624
644,1370.545000,6041
645,1532.855000,4048
646,1405.730000,4943
647,1412.740000,4660
648,1469.810000,4521
649,1342.215000,7146
650,1378.225000,4697
651,1447.370000,5173
652,1425.720000,5893
653,1494.815000,4208
654,1404.515000,4581
655,1305.850000,5797
656,1412.535000,5451
657,1434.260000,16268
658,1410.545000,7404
659,1377.005000,4617
660,1427.080000,5278
661,1463.825000,5128
662,1334.215000,5104
663,1377.785000,4662
664,1434.270000,4214
665,1340.660000,4900
666,1399.510000,5833
667,1387.460000,4612
668,1353.975000,5069
669,1419.860000,6146
670,1451.450000,5091
671,1522.040000,4195
672,1399.725000,6939
673,1513.160000,4207
674,1431.635000,4324
675,1348.195000,4743
676,1435.275000,5039
677,1442.660000,4397
678,1461.150000,4485
679,1270.535000,5718
680,1437.685000,4789
681,1471.735000,4125
682,1345.530000,12077
683,1479.025000,4248
684,1468.450000,4371
685,1418.105000,4497
686,1285.540000,6630
687,1419.910000,4269
688,1409.925000,4543
689,1426.080000,4369
690,1344.755000,4776
691,1374.920000,4625
692,1461.485000,4915
693,1349.515000,4560
694,1532.785000,4072
695,1377.670000,4683
696,1420.360000,4649
697,1479.145000,5378
698,1471.355000,4392
699,1429.395000,4462
700,1464.375000,4187
701,1371.065000,6082
702,1376.850000,4610
703,1496.075000,4012
704,1501.495000,5842
705,1364.425000,4766
706,1373.990000,4942
707,1404.655000,4725
708,1382.270000,4532
709,1344.260000,6415
710,1484.330000,5656
711,1333.425000,4715
712,1403.930000,4648
713,1454.785000,4432
714,1408.250000,4746
715,1465.995000,4417
716,1497.530000,4348
717,1405.350000,4663
718,1376.230000,6278
719,1364.330000,5069
720,1557.105000,3834
721,1441.640000,4391
722,1479.185000,4135
723,1423.730000,4474
724,1447.410000,6191
725,1387.625000,4635
726,1465.735000,4184
727,1370.830000,4923
728,1499.680000,4083
729,1470.570000,4324
730,1413.340000,4699
731,1392.045000,4602
732,1526.875000,4212
733,1394.845000,6382
734,1471.690000,4093
735,1417.925000,4617
736,1427.725000,4467
737,1452.135000,5224
738,1368.310000,4879
739,1439.200000,4447
740,1521.995000,4177
741,1441.820000,4373
742,1531.970000,4107
743,1446.035000,4327
744,1479.235000,4150
745,1478.780000,4381
746,1465.430000,4215
747,1403.195000,4545
748,1487.425000,4307
749,1444.340000,4238
750,1559.655000,3793
751,1552.005000,3917
752,1464.785000,4028
753,1462.250000,5074
754,1364.010000,4647
755,1472.275000,5991
756,1471.930000,4859
757,1480.710000,4117
758,1293.065000,4808
759,1487.840000,4035
760,1464.880000,4165
761,1334.430000,4915
762,1364.225000,8054
763,1326.750000,4942
764,1488.485000,4213
765,1469.950000,4738
766,1397.040000,4659
767,1443.490000,4421
768,1512.230000,4040
769,1434.750000,4313
